Unnamed: 0,Entry,sentiment_id,tokenized_journal_entry
0,"

Dear Diary,

Today has been such a wonderful day and I can't help but feel so positive and grateful. The sun was shining bright this morning and it instantly lifted my mood. As I walked to work, I couldn't help but notice how beautiful the world around me is.

At work, I was met with a warm greeting from my colleagues and it instantly put a smile on my face. I am so lucky to work with such amazing people who always make me feel valued and appreciated. We had a productive meeting and I was able to contribute some great ideas. It's such a fulfilling feeling to see my hard work being recognized and making a difference.

During lunch, I decided to take a walk outside and enjoy the beautiful weather. As I walked and took in the sights and sounds of the city, I couldn't help but feel grateful for all the blessings in my life. Sometimes, we get so caught up in our daily routines that we forget to appreciate the little things. But today, I made a conscious effort to be present and it has truly made a difference in my outlook.

In the evening, I met up with some friends and we had a great time catching up and laughing. It's moments like these that remind me of the",0,"[CLS] dear diary, today has been such a wonderful day and i can't help but feel so positive and grateful. the sun was shining bright this morning and it instantly lifted my mood. as i walked to work, i couldn't help but notice how beautiful the world around me is. at work, i was met with a warm greeting from my colleagues and it instantly put a smile on my face. i am so lucky to work with such amazing people who always make me feel valued and appreciated. we had a productive meeting and i was able to contribute some great ideas. it's such a fulfilling feeling to see my hard work being recognized and making a difference. during lunch, i decided to take a walk outside and enjoy the beautiful weather. as i walked and took in the sights and sounds of the city, i couldn't help but feel grateful for all the blessings in my life. sometimes, we get so caught up in our daily routines that we forget to appreciate the little things. but today, i made a conscious effort to be present and it has truly made a difference in my outlook. in the evening, i met up with some friends and we had a great time catching up and laughing. it's moments like these that remind me of the [SEP]"
300,"

Dear Diary,

Today has been one of those days where everything just seems to go wrong. From the moment I woke up, I could feel the weight of negativity weighing down on me. I tried to shake it off and tell myself that it's just a bad mood, but as the day went on, it only seemed to get worse.

I couldn't even find the energy to get out of bed this morning. I just lay there, staring at the ceiling, with a heavy feeling in my chest. It's like all the motivation and drive I had yesterday just disappeared overnight.

As I got ready for work, I couldn't help but feel overwhelmed by the never-ending list of tasks that I have to complete. It's like no matter how much I work, it's never enough. And to top it off, my boss has been on my case about a project that I'm already struggling with. It's like I can never catch a break.

The negative thoughts just keep swirling in my mind, telling me that I'm not good enough, that I'll never be able to meet everyone's expectations. It's exhausting to constantly battle with these thoughts, and today, I just don't have the strength to fight them.

And to make",1,"[CLS] dear diary, today has been one of those days where everything just seems to go wrong. from the moment i woke up, i could feel the weight of negativity weighing down on me. i tried to shake it off and tell myself that it's just a bad mood, but as the day went on, it only seemed to get worse. i couldn't even find the energy to get out of bed this morning. i just lay there, staring at the ceiling, with a heavy feeling in my chest. it's like all the motivation and drive i had yesterday just disappeared overnight. as i got ready for work, i couldn't help but feel overwhelmed by the never - ending list of tasks that i have to complete. it's like no matter how much i work, it's never enough. and to top it off, my boss has been on my case about a project that i'm already struggling with. it's like i can never catch a break. the negative thoughts just keep swirling in my mind, telling me that i'm not good enough, that i'll never be able to meet everyone's expectations. it's exhausting to constantly battle with these thoughts, and today, i just don't have the strength to fight them. and to make [SEP]"
600,"

Dear Diary,

It's been a while since I last wrote to you. Life has been moving at a steady pace and I find myself feeling quite neutral about everything. Not too happy, not too sad, just in the middle.

I guess part of me is grateful for this sense of calmness and stability. I'm not overwhelmed with emotions and I can handle whatever comes my way without too much fuss. But at the same time, I can't help but wonder if this is all there is to life. Is this what it means to be content? To just exist without any extreme highs or lows?

I suppose it's a good thing that I'm not feeling down or depressed, but I can't help but miss the excitement and passion that comes with strong emotions. It's almost as if I'm stuck in a state of limbo, not moving forward but not moving backward either.

Maybe it's just a phase, and I'll eventually snap out of it. Or maybe this is my new normal, and I need to learn to embrace it. Either way, I'm trying to make the best of it. I'm finding joy in the little things, like a good cup of coffee or a walk in the park.

I do wonder",2,"[CLS] dear diary, it's been a while since i last wrote to you. life has been moving at a steady pace and i find myself feeling quite neutral about everything. not too happy, not too sad, just in the middle. i guess part of me is grateful for this sense of calmness and stability. i'm not overwhelmed with emotions and i can handle whatever comes my way without too much fuss. but at the same time, i can't help but wonder if this is all there is to life. is this what it means to be content? to just exist without any extreme highs or lows? i suppose it's a good thing that i'm not feeling down or depressed, but i can't help but miss the excitement and passion that comes with strong emotions. it's almost as if i'm stuck in a state of limbo, not moving forward but not moving backward either. maybe it's just a phase, and i'll eventually snap out of it. or maybe this is my new normal, and i need to learn to embrace it. either way, i'm trying to make the best of it. i'm finding joy in the little things, like a good cup of coffee or a walk in the park. i do wonder [SEP]"
1,"

Dear Diary,

Today has been a wonderful day filled with positivity and good vibes. From the moment I woke up, I could feel a sense of happiness and contentment wash over me.

I started my day with a morning meditation, which helped me clear my mind and set positive intentions for the day ahead. As I opened my window, the warm rays of sunshine greeted me, and I couldn't help but smile at the beauty of the world outside.

Even my morning commute to work seemed more enjoyable today. The traffic was light, and the radio was playing my favorite songs, making the drive more pleasant than usual. My colleagues at work were also in a great mood, and we shared a few laughs and jokes, making the workday fly by.

During my lunch break, I decided to take a walk in the nearby park. The fresh air and greenery were refreshing, and I took some time to appreciate the beauty of nature. As I sat on a bench, I couldn't help but feel grateful for all the blessings in my life.

The afternoon went by smoothly, and I was able to finish all my tasks with ease. I even received some positive feedback from my boss, which made me feel proud of my work and motivated to do",0,"[CLS] dear diary, today has been a wonderful day filled with positivity and good vibes. from the moment i woke up, i could feel a sense of happiness and contentment wash over me. i started my day with a morning meditation, which helped me clear my mind and set positive intentions for the day ahead. as i opened my window, the warm rays of sunshine greeted me, and i couldn't help but smile at the beauty of the world outside. even my morning commute to work seemed more enjoyable today. the traffic was light, and the radio was playing my favorite songs, making the drive more pleasant than usual. my colleagues at work were also in a great mood, and we shared a few laughs and jokes, making the workday fly by. during my lunch break, i decided to take a walk in the nearby park. the fresh air and greenery were refreshing, and i took some time to appreciate the beauty of nature. as i sat on a bench, i couldn't help but feel grateful for all the blessings in my life. the afternoon went by smoothly, and i was able to finish all my tasks with ease. i even received some positive feedback from my boss, which made me feel proud of my work and motivated to do [SEP]"
301,"

Dear Diary,

Today has been a really tough day. It seems like everything is going wrong and I can't catch a break. I woke up this morning feeling exhausted and unmotivated. I couldn't even bring myself to get out of bed for hours.

As soon as I finally got up, I realized I had forgotten to do an important assignment for work. I felt so embarrassed and disappointed in myself. I rushed to get it done, but the quality was definitely not my best.

At work, my boss was in a terrible mood and kept criticizing my work. It felt like no matter what I did, it was never good enough. I tried to brush it off and stay positive, but it's hard when someone is constantly bringing you down.

On top of that, I got into an argument with a close friend over something silly. It left me feeling hurt and frustrated. I hate when relationships are strained, especially with people I care about.

To make matters worse, I got a call from my doctor's office saying I need to come in for more tests. The thought of something being wrong with my health terrifies me.

Overall, I just feel overwhelmed and defeated. It's days like today that make me question everything and wonder",1,"[CLS] dear diary, today has been a really tough day. it seems like everything is going wrong and i can't catch a break. i woke up this morning feeling exhausted and unmotivated. i couldn't even bring myself to get out of bed for hours. as soon as i finally got up, i realized i had forgotten to do an important assignment for work. i felt so embarrassed and disappointed in myself. i rushed to get it done, but the quality was definitely not my best. at work, my boss was in a terrible mood and kept criticizing my work. it felt like no matter what i did, it was never good enough. i tried to brush it off and stay positive, but it's hard when someone is constantly bringing you down. on top of that, i got into an argument with a close friend over something silly. it left me feeling hurt and frustrated. i hate when relationships are strained, especially with people i care about. to make matters worse, i got a call from my doctor's office saying i need to come in for more tests. the thought of something being wrong with my health terrifies me. overall, i just feel overwhelmed and defeated. it's days like today that make me question everything and wonder [SEP]"
601,"

Dear Diary,

Today has been a relatively uneventful day. Nothing particularly exciting or interesting happened, but nothing particularly upsetting or disappointing happened either. I feel like I'm in a state of neutrality, where I am neither overly happy nor sad.

I woke up this morning feeling rested and ready to tackle the day, but as the day went on, I found myself just going through the motions. I went to work, completed my tasks, and interacted with my coworkers, but there was no real spark or enthusiasm in my actions.

It's not that I am unhappy with my life or anything like that. In fact, I am grateful for all that I have and the people in my life. I just feel like I am in a bit of a rut, where everything is just okay, but nothing stands out as exceptional.

I know that this feeling of neutrality is temporary and that tomorrow could bring a whole new set of emotions. But for now, I am content with being in this state. It's a break from the constant ups and downs of life and allows me to just be present in the moment.

Perhaps this is a reminder to appreciate the small things in life and find joy in the ordinary. Maybe I need to shake things up",2,"[CLS] dear diary, today has been a relatively uneventful day. nothing particularly exciting or interesting happened, but nothing particularly upsetting or disappointing happened either. i feel like i'm in a state of neutrality, where i am neither overly happy nor sad. i woke up this morning feeling rested and ready to tackle the day, but as the day went on, i found myself just going through the motions. i went to work, completed my tasks, and interacted with my coworkers, but there was no real spark or enthusiasm in my actions. it's not that i am unhappy with my life or anything like that. in fact, i am grateful for all that i have and the people in my life. i just feel like i am in a bit of a rut, where everything is just okay, but nothing stands out as exceptional. i know that this feeling of neutrality is temporary and that tomorrow could bring a whole new set of emotions. but for now, i am content with being in this state. it's a break from the constant ups and downs of life and allows me to just be present in the moment. perhaps this is a reminder to appreciate the small things in life and find joy in the ordinary. maybe i need to shake things up [SEP]"
2,"

Dear Diary,

Today has been such a wonderful day. I woke up feeling refreshed and ready to take on the world. The sun was shining bright and the birds were chirping, it was the perfect start to my day.

As I went about my morning routine, I couldn't help but feel grateful for all the blessings in my life. I have a loving family, amazing friends, and a job that I enjoy. I am truly blessed and I am reminded of it every day.

I decided to make the most of this beautiful day and went for a walk in the park. The fresh air and the beautiful scenery rejuvenated my soul. I took the time to appreciate the little things, like the blooming flowers and the laughter of children playing.

After my walk, I treated myself to a delicious cup of coffee at my favorite café. I sat there for a while, people-watching and enjoying the moment. It's these small moments of peace and happiness that make life so beautiful.

In the afternoon, I had a productive meeting at work. My ideas were well received and I felt a sense of accomplishment. It's amazing how a positive mindset can make all the difference in our work.

As the day comes to an end, I can",0,"[CLS] dear diary, today has been such a wonderful day. i woke up feeling refreshed and ready to take on the world. the sun was shining bright and the birds were chirping, it was the perfect start to my day. as i went about my morning routine, i couldn't help but feel grateful for all the blessings in my life. i have a loving family, amazing friends, and a job that i enjoy. i am truly blessed and i am reminded of it every day. i decided to make the most of this beautiful day and went for a walk in the park. the fresh air and the beautiful scenery rejuvenated my soul. i took the time to appreciate the little things, like the blooming flowers and the laughter of children playing. after my walk, i treated myself to a delicious cup of coffee at my favorite cafe. i sat there for a while, people - watching and enjoying the moment. it's these small moments of peace and happiness that make life so beautiful. in the afternoon, i had a productive meeting at work. my ideas were well received and i felt a sense of accomplishment. it's amazing how a positive mindset can make all the difference in our work. as the day comes to an end, i can [SEP]"
302,"

Dear Diary,

Today has been a rough day. I woke up feeling exhausted and unmotivated, and it seems like the negative energy has followed me throughout the day. Everything just seems to be going wrong, from spilling coffee on my shirt to getting stuck in traffic on my way to work.

I can't seem to shake this feeling of frustration and disappointment. It's like a dark cloud is hanging over my head, and no matter how hard I try, I can't escape it. I feel like I'm carrying the weight of the world on my shoulders and it's just too much to bear.

To make matters worse, I made a silly mistake at work that ended up costing me hours of extra work. My boss was not happy, and I can't blame them. I feel like such a failure, and it's hard not to beat myself up over it.

On top of all that, I received some bad news from a friend today. It's heartbreaking to see someone you care about struggling and not being able to do anything to help. It just adds to my already negative mood.

I know I shouldn't let these things get to me, but it's hard not to when everything seems to be going wrong. I feel",1,"[CLS] dear diary, today has been a rough day. i woke up feeling exhausted and unmotivated, and it seems like the negative energy has followed me throughout the day. everything just seems to be going wrong, from spilling coffee on my shirt to getting stuck in traffic on my way to work. i can't seem to shake this feeling of frustration and disappointment. it's like a dark cloud is hanging over my head, and no matter how hard i try, i can't escape it. i feel like i'm carrying the weight of the world on my shoulders and it's just too much to bear. to make matters worse, i made a silly mistake at work that ended up costing me hours of extra work. my boss was not happy, and i can't blame them. i feel like such a failure, and it's hard not to beat myself up over it. on top of all that, i received some bad news from a friend today. it's heartbreaking to see someone you care about struggling and not being able to do anything to help. it just adds to my already negative mood. i know i shouldn't let these things get to me, but it's hard not to when everything seems to be going wrong. i feel [SEP]"
602,"

Dear Diary,

Today was a day where I felt completely neutral. Nothing particularly good or bad happened, and I found myself in a state of calmness and contentment.

I woke up this morning feeling well-rested and ready for the day ahead. I went through my morning routine, had a simple breakfast, and headed off to work. As I made my way to the office, I noticed the beautiful autumn leaves falling from the trees and couldn't help but feel a sense of appreciation for the beauty of nature.

At work, I went through my tasks and completed them efficiently. I didn't feel any pressure or stress, just a sense of fulfillment as I crossed each item off my to-do list. My coworkers were their usual selves, and I engaged in some small talk with them during lunch break.

After work, I went to the gym for my usual workout. I didn't feel particularly motivated, but I still pushed through and got a good sweat going. As I walked back home, I took in the sights and sounds of the city, feeling grateful for the life I have and the opportunities that come my way.

Back home, I cooked a simple dinner and spent some time reading a book. I didn't feel overly excited or bored",2,"[CLS] dear diary, today was a day where i felt completely neutral. nothing particularly good or bad happened, and i found myself in a state of calmness and contentment. i woke up this morning feeling well - rested and ready for the day ahead. i went through my morning routine, had a simple breakfast, and headed off to work. as i made my way to the office, i noticed the beautiful autumn leaves falling from the trees and couldn't help but feel a sense of appreciation for the beauty of nature. at work, i went through my tasks and completed them efficiently. i didn't feel any pressure or stress, just a sense of fulfillment as i crossed each item off my to - do list. my coworkers were their usual selves, and i engaged in some small talk with them during lunch break. after work, i went to the gym for my usual workout. i didn't feel particularly motivated, but i still pushed through and got a good sweat going. as i walked back home, i took in the sights and sounds of the city, feeling grateful for the life i have and the opportunities that come my way. back home, i cooked a simple dinner and spent some time reading a book. i didn't feel overly excited or bored [SEP]"
3,"

Dear Diary,

Today, I am feeling incredibly positive and happy. The sun is shining, the birds are singing, and there is a sense of peace and contentment in the air. I am so grateful for this beautiful day and for all the blessings in my life.

I woke up this morning feeling refreshed and rejuvenated. I made myself a delicious cup of coffee and sat outside on my porch, taking in the beauty of nature around me. The flowers in my garden are blooming, and the colors are so vibrant and cheerful.

As I sipped my coffee, I couldn't help but reflect on how far I have come in my personal journey. I have overcome so many challenges and obstacles, and I am proud of the person I have become. I have learned to be resilient, to never give up, and to always find the silver lining in every situation.

I am also filled with excitement for the future. I have so many goals and dreams that I am working towards, and I know that with hard work and determination, I can achieve them all. I am surrounded by a supportive and loving family and friends who believe in me and my abilities. Their encouragement and love give me the strength to keep moving forward.

Today, I am",0,"[CLS] dear diary, today, i am feeling incredibly positive and happy. the sun is shining, the birds are singing, and there is a sense of peace and contentment in the air. i am so grateful for this beautiful day and for all the blessings in my life. i woke up this morning feeling refreshed and rejuvenated. i made myself a delicious cup of coffee and sat outside on my porch, taking in the beauty of nature around me. the flowers in my garden are blooming, and the colors are so vibrant and cheerful. as i sipped my coffee, i couldn't help but reflect on how far i have come in my personal journey. i have overcome so many challenges and obstacles, and i am proud of the person i have become. i have learned to be resilient, to never give up, and to always find the silver lining in every situation. i am also filled with excitement for the future. i have so many goals and dreams that i am working towards, and i know that with hard work and determination, i can achieve them all. i am surrounded by a supportive and loving family and friends who believe in me and my abilities. their encouragement and love give me the strength to keep moving forward. today, i am [SEP]"
